Time resolution is 1 ps
ERROR: Could not open vcd file dump.vcd. A VCD file by name dump.vcd has already been opened. Only one VCD file is allowed to be open.
                   0mode=0, button1=0, button2=0, button3=0, button4=0, led=  x
                   5mode=0, button1=0, button2=0, button3=0, button4=0, led=  0
                 205mode=0, button1=1, button2=0, button3=0, button4=0, led=  0
                 215mode=0, button1=0, button2=0, button3=0, button4=0, led=  0
                 220mode=0, button1=1, button2=0, button3=0, button4=0, led=  0
                 420mode=0, button1=0, button2=0, button3=0, button4=0, led=  0
                 445mode=0, button1=0, button2=1, button3=0, button4=0, led=  0
                 645mode=0, button1=0, button2=0, button3=0, button4=0, led=  0
                 670mode=0, button1=0, button2=1, button3=1, button4=0, led=  0
                 870mode=0, button1=0, button2=0, button3=0, button4=0, led=  0
                 895mode=1, button1=0, button2=1, button3=0, button4=0, led=  0
